review,rating,date,bank,source,sentiment_label,sentiment_score
goode app,5,2025-04-01,CBE,Google Play,NEUTRAL,0.0
a very nice app.👍👍👍,5,2025-04-01,CBE,Google Play,POSITIVE,0.78
safe easy & fast,5,2025-04-01,CBE,Google Play,POSITIVE,0.37777777777777777
it's good app,5,2025-04-01,CBE,Google Play,POSITIVE,0.7
It is veary useful app but screen shout was impossible .solve this problem,5,2025-04-01,CBE,Google Play,NEGATIVE,-0.18333333333333332
ጥሩ ነው,5,2025-04-01,CBE,Google Play,NEUTRAL,0.0
እጅግ በጣም ጥሩ አፕ,5,2025-04-01,CBE,Google Play,NEUTRAL,0.0
በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,5,2025-04-01,CBE,Google Play,NEUTRAL,0.0
suitable app,4,2025-04-01,CBE,Google Play,POSITIVE,0.55
Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,1,2025-04-01,CBE,Google Play,NEUTRAL,0.0
best transaction method of financial,5,2025-04-01,CBE,Google Play,POSITIVE,0.5
#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,5,2025-04-01,CBE,Google Play,POSITIVE,0.6975446428571428
It literarily don't work at all,4,2025-04-01,CBE,Google Play,NEUTRAL,0.1
good give us plus,5,2025-04-01,CBE,Google Play,POSITIVE,0.7
"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",4,2025-04-01,CBE,Google Play,POSITIVE,0.45499999999999996
before update it was able to screenshot while after update I can't able to screenshot the transfere details,4,2025-04-01,CBE,Google Play,POSITIVE,0.5
Tnc Cbe,5,2025-04-01,CBE,Google Play,NEUTRAL,0.0
it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,4,2025-03-31,CBE,Google Play,POSITIVE,0.4125
great apps,5,2025-03-31,CBE,Google Play,POSITIVE,0.8
Excellent,5,2025-03-31,CBE,Google Play,POSITIVE,1.0
Great app!,4,2025-03-31,CBE,Google Play,POSITIVE,1.0
CBE,5,2025-03-31,CBE,Google Play,NEUTRAL,0.0
very good 👍 👏,5,2025-03-31,CBE,Google Play,POSITIVE,0.9099999999999999
great when it works,5,2025-03-31,CBE,Google Play,POSITIVE,0.8
"the app is very good, but why screenshots is impossible?",5,2025-03-31,CBE,Google Play,POSITIVE,0.12166666666666665
excellent match application,5,2025-03-31,CBE,Google Play,POSITIVE,1.0
The Best app😍😍😍,5,2025-03-31,CBE,Google Play,POSITIVE,1.0
excellent app,5,2025-03-31,CBE,Google Play,POSITIVE,1.0
easy to use and user friendly,5,2025-03-31,CBE,Google Play,POSITIVE,0.4041666666666667
very nice,5,2025-03-31,CBE,Google Play,POSITIVE,0.78
አሪፍ ነው በተለይ የአሻራ ደህነቱ መረጋገጡ ተመችቶኛል,3,2025-03-31,CBE,Google Play,NEUTRAL,0.0
well software,5,2025-03-31,CBE,Google Play,NEUTRAL,0.0
ጥሩ ነው አንዳንዴ ስታክ ቢያደርግም,4,2025-03-31,CBE,Google Play,NEUTRAL,0.0
it's not working,3,2025-06-05,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,Bank of Abyssinia,Google Play,NEUTRAL,0.03333333333333333
exceptional,5,2025-06-03,Bank of Abyssinia,Google Play,POSITIVE,0.6666666666666666
BoA Mobile good bank,5,2025-06-02,Bank of Abyssinia,Google Play,POSITIVE,0.7
this is worest app 24/7 loading,1,2025-06-01,Bank of Abyssinia,Google Play,NEUTRAL,0.0
This App is not interest for Android phone Please update it .,1,2025-06-01,Bank of Abyssinia,Google Play,NEUTRAL,0.0
BoA system is confartable,5,2025-06-01,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,Bank of Abyssinia,Google Play,NEUTRAL,-0.016666666666666663
Good service.,3,2025-05-25,Bank of Abyssinia,Google Play,POSITIVE,0.7
the app crush frequently,1,2025-05-24,Bank of Abyssinia,Google Play,NEUTRAL,0.1
You guys keeps getting worst,1,2025-05-22,Bank of Abyssinia,Google Play,NEGATIVE,-1.0
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,Bank of Abyssinia,Google Play,POSITIVE,0.1380952380952381
BoA,2,2025-05-20,Bank of Abyssinia,Google Play,NEUTRAL,0.0
but not opening on android,4,2025-05-19,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,Bank of Abyssinia,Google Play,NEGATIVE,-0.3333333333333333
ሞላዬ ከበደ,5,2025-05-14,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,Bank of Abyssinia,Google Play,POSITIVE,0.265625
liking this application good 👍,5,2025-05-07,Bank of Abyssinia,Google Play,POSITIVE,0.7
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,Bank of Abyssinia,Google Play,NEUTRAL,0.02888888888888889
it's really good 👍,5,2025-04-23,Bank of Abyssinia,Google Play,POSITIVE,0.7
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,Bank of Abyssinia,Google Play,NEGATIVE,-0.3499999999999999
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,Bank of Abyssinia,Google Play,NEUTRAL,0.0
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,Bank of Abyssinia,Google Play,NEGATIVE,-0.65
yideg,1,2025-04-18,Bank of Abyssinia,Google Play,NEUTRAL,0.0
አይከፍትም እኮ,1,2025-04-17,Bank of Abyssinia,Google Play,NEUTRAL,0.0
great boa,5,2025-04-10,Bank of Abyssinia,Google Play,POSITIVE,0.8
boa of mobile backing,5,2025-04-09,Bank of Abyssinia,Google Play,NEUTRAL,0.0
faster bank of Abissinya,5,2025-04-08,Bank of Abyssinia,Google Play,NEUTRAL,0.0
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,Bank of Abyssinia,Google Play,NEUTRAL,0.05000000000000001
it just doesn't work...so frustrating,1,2025-04-07,Bank of Abyssinia,Google Play,NEGATIVE,-0.4
like,5,2025-04-06,Bank of Abyssinia,Google Play,NEUTRAL,0.0
it's not work correctly... you must have update it,1,2025-04-06,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,Bank of Abyssinia,Google Play,NEUTRAL,0.1
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,Bank of Abyssinia,Google Play,POSITIVE,0.3333333333333333
good but they don't update enough don't add new things,3,2025-04-04,Bank of Abyssinia,Google Play,POSITIVE,0.27878787878787875
thank you,5,2025-04-02,Bank of Abyssinia,Google Play,NEUTRAL,0.0
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,Bank of Abyssinia,Google Play,NEUTRAL,0.0
good application,5,2025-03-30,Bank of Abyssinia,Google Play,POSITIVE,0.7
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,Bank of Abyssinia,Google Play,NEUTRAL,0.058333333333333334
always problematic hardly works,1,2025-03-26,Bank of Abyssinia,Google Play,NEGATIVE,-0.2916666666666667
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,Bank of Abyssinia,Google Play,NEUTRAL,0.06666666666666671
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,Bank of Abyssinia,Google Play,NEGATIVE,-1.0
great BoA,5,2025-03-22,Bank of Abyssinia,Google Play,POSITIVE,0.8
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,Bank of Abyssinia,Google Play,POSITIVE,0.25
there is no speed,1,2025-03-19,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"For anyone who wants to download it, just don't!!!",1,2025-03-19,Bank of Abyssinia,Google Play,POSITIVE,0.390625
wonderful,5,2025-03-19,Bank of Abyssinia,Google Play,POSITIVE,1.0
all worck,5,2025-03-19,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Loved it,5,2025-03-14,Bank of Abyssinia,Google Play,POSITIVE,0.7
Wow,1,2025-03-14,Bank of Abyssinia,Google Play,NEUTRAL,0.1
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12,Bank of Abyssinia,Google Play,NEUTRAL,0.06022727272727273
Improved to be the best,5,2025-03-11,Bank of Abyssinia,Google Play,POSITIVE,1.0
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11,Bank of Abyssinia,Google Play,NEUTRAL,0.08333333333333333
BoA Greqt Ethiopian bank.,5,2025-03-11,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10,Bank of Abyssinia,Google Play,POSITIVE,0.2
Almost better compared to cbe where it is not qualified for,4,2025-03-09,Bank of Abyssinia,Google Play,POSITIVE,0.5
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,Bank of Abyssinia,Google Play,POSITIVE,0.475
Wonderfull app,5,2025-03-08,Bank of Abyssinia,Google Play,NEUTRAL,0.0
i can't use this app why?,5,2025-03-07,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,Bank of Abyssinia,Google Play,POSITIVE,0.1392857142857143
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05,Bank of Abyssinia,Google Play,NEGATIVE,-0.1125
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04,Bank of Abyssinia,Google Play,NEGATIVE,-0.125
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,Bank of Abyssinia,Google Play,NEUTRAL,0.041666666666666664
It has good features but sometimes it doesn't work...0,1,2025-03-02,Bank of Abyssinia,Google Play,POSITIVE,0.7
Very poor proformance,1,2025-03-01,Bank of Abyssinia,Google Play,NEGATIVE,-0.52
It's not opening. Really frustrating,1,2025-03-01,Bank of Abyssinia,Google Play,NEGATIVE,-0.4
Verry Amazing App from all IB,5,2025-03-01,Bank of Abyssinia,Google Play,POSITIVE,0.6000000000000001
Not working on this days,1,2025-02-26,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Thank you BoA,5,2025-02-23,Bank of Abyssinia,Google Play,NEUTRAL,0.0
best banking app in the wworld,5,2025-02-22,Bank of Abyssinia,Google Play,POSITIVE,1.0
Nice app and it's easy to use,5,2025-02-21,Bank of Abyssinia,Google Play,POSITIVE,0.5166666666666666
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15,Bank of Abyssinia,Google Play,NEUTRAL,-0.0722222222222222
This is help full i like ittttt,5,2025-02-14,Bank of Abyssinia,Google Play,POSITIVE,0.35
The is not functional at all?,2,2025-02-12,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Best bank,5,2025-02-08,Bank of Abyssinia,Google Play,POSITIVE,1.0
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07,Bank of Abyssinia,Google Play,POSITIVE,0.5311111111111111
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04,Bank of Abyssinia,Google Play,NEUTRAL,0.0
I have been using this app for two years.It is amazing.,5,2025-02-01,Bank of Abyssinia,Google Play,POSITIVE,0.6000000000000001
Good 👍,5,2025-01-31,Bank of Abyssinia,Google Play,POSITIVE,0.7
Sad experience,1,2025-01-30,Bank of Abyssinia,Google Play,NEGATIVE,-0.5
Always do update and that is annoying,3,2025-01-27,Bank of Abyssinia,Google Play,NEGATIVE,-0.8
"Best app, somehow waiting a few minutes",5,2025-01-23,Bank of Abyssinia,Google Play,POSITIVE,0.4
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-22,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Whenever I try to sign in app close please fixed it out,2,2025-01-21,Bank of Abyssinia,Google Play,NEUTRAL,0.1
Beter,5,2025-01-21,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Boa,4,2025-01-18,Bank of Abyssinia,Google Play,NEUTRAL,0.0
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18,Bank of Abyssinia,Google Play,NEGATIVE,-0.39000000000000007
Aadan Axmed Barkhadle,5,2025-01-17,Bank of Abyssinia,Google Play,NEUTRAL,0.0
😡😡😡🤬🤬🤬,1,2025-01-16,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Horrible customer service and app crashes Horrible!!,1,2025-01-15,Bank of Abyssinia,Google Play,NEGATIVE,-1.0
I love it,5,2025-01-14,Bank of Abyssinia,Google Play,POSITIVE,0.5
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Good🙏,5,2025-01-12,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Like to much,5,2025-01-11,Bank of Abyssinia,Google Play,POSITIVE,0.2
Thank you,5,2025-01-10,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Perfect,5,2025-01-09,Bank of Abyssinia,Google Play,POSITIVE,1.0
The best of best,5,2025-01-09,Bank of Abyssinia,Google Play,POSITIVE,1.0
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,2025-01-07,Bank of Abyssinia,Google Play,POSITIVE,0.30833333333333335
Great 👍,5,2025-01-04,Bank of Abyssinia,Google Play,POSITIVE,0.8
Fast and suitable for the customers.,5,2025-01-04,Bank of Abyssinia,Google Play,POSITIVE,0.375
Good app and helpful,5,2025-01-03,Bank of Abyssinia,Google Play,POSITIVE,0.7
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,2025-01-03,Bank of Abyssinia,Google Play,POSITIVE,0.15357142857142855
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,2025-01-02,Bank of Abyssinia,Google Play,NEUTRAL,0.0
It doesn't work at all.,2,2025-01-02,Bank of Abyssinia,Google Play,NEUTRAL,0.0
this app is not available,1,2025-01-02,Bank of Abyssinia,Google Play,NEGATIVE,-0.2
Wow what amazing,5,2024-12-30,Bank of Abyssinia,Google Play,POSITIVE,0.35000000000000003
love it,5,2024-12-30,Bank of Abyssinia,Google Play,POSITIVE,0.5
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,2024-12-30,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Lemn embi yilal??,5,2024-12-30,Bank of Abyssinia,Google Play,NEUTRAL,0.0
It's useless app downgraded.,1,2024-12-29,Bank of Abyssinia,Google Play,NEGATIVE,-0.5
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,2024-12-27,Bank of Abyssinia,Google Play,NEUTRAL,0.1
Nice,5,2024-12-26,Bank of Abyssinia,Google Play,POSITIVE,0.6
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,2024-12-24,Bank of Abyssinia,Google Play,NEGATIVE,-0.2333333333333333
አይሰራም ሼም ነው፤,1,2024-12-23,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Not that much bad,3,2024-12-22,Bank of Abyssinia,Google Play,NEGATIVE,-0.6999999999999998
Fine,5,2024-12-21,Bank of Abyssinia,Google Play,POSITIVE,0.4166666666666667
The dirtiest application ever seen...,1,2024-12-20,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Nic ap,5,2024-12-19,Bank of Abyssinia,Google Play,NEUTRAL,0.0
The forest app ever,1,2024-12-19,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-19,Bank of Abyssinia,Google Play,POSITIVE,0.375
Bank of abissena,1,2024-12-17,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16,Bank of Abyssinia,Google Play,POSITIVE,0.2888888888888889
GOOD,5,2024-12-15,Bank of Abyssinia,Google Play,POSITIVE,0.7
The worst banking app ever. Never works!,1,2024-12-14,Bank of Abyssinia,Google Play,NEGATIVE,-1.0
Poorly functioning app,3,2024-12-13,Bank of Abyssinia,Google Play,NEGATIVE,-0.4
Very nice,5,2024-12-13,Bank of Abyssinia,Google Play,POSITIVE,0.78
Your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-11,Bank of Abyssinia,Google Play,NEGATIVE,-1.0
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-10,Bank of Abyssinia,Google Play,NEUTRAL,-0.0875
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,2024-12-08,Bank of Abyssinia,Google Play,POSITIVE,0.37142857142857144
"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",1,2024-12-07,Bank of Abyssinia,Google Play,NEGATIVE,-0.29500000000000004
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,1,2024-12-06,Bank of Abyssinia,Google Play,NEUTRAL,-0.06
It doesn't work on my 2 devices A05 and A34 😡,1,2024-12-02,Bank of Abyssinia,Google Play,NEUTRAL,0.0
It's better to say I don't use boa rather than pulling your phone out and opening this app,1,2024-12-01,Bank of Abyssinia,Google Play,POSITIVE,0.5
My attention is very important because it will be the most difficult time for me,5,2024-11-30,Bank of Abyssinia,Google Play,POSITIVE,0.17333333333333334
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",1,2024-11-29,Bank of Abyssinia,Google Play,NEGATIVE,-0.19062500000000002
I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,1,2024-11-28,Bank of Abyssinia,Google Play,POSITIVE,0.4
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,2024-11-28,Bank of Abyssinia,Google Play,NEGATIVE,-0.1075
exellent digital transaction of money,5,2024-11-27,Bank of Abyssinia,Google Play,NEUTRAL,0.0
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,1,2024-11-26,Bank of Abyssinia,Google Play,POSITIVE,0.16666666666666666
Great,5,2024-11-25,Bank of Abyssinia,Google Play,POSITIVE,0.8
👏👏👏,5,2024-11-24,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Money,5,2024-11-24,Bank of Abyssinia,Google Play,NEUTRAL,0.0
It needs more improvment,2,2024-11-24,Bank of Abyssinia,Google Play,POSITIVE,0.5
Hey Google,5,2024-11-21,Bank of Abyssinia,Google Play,NEUTRAL,0.0
ab,3,2024-11-20,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Ademtahir,5,2024-11-20,Bank of Abyssinia,Google Play,NEUTRAL,0.0
✌️✌️,5,2024-11-20,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Please this app on my android phone,3,2024-11-20,Bank of Abyssinia,Google Play,NEUTRAL,0.0
GOAT 🐐 🐐,5,2024-11-19,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",1,2024-11-19,Bank of Abyssinia,Google Play,NEUTRAL,0.016666666666666635
Fast and reliable,5,2024-11-18,Bank of Abyssinia,Google Play,POSITIVE,0.2
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",1,2024-11-17,Bank of Abyssinia,Google Play,NEGATIVE,-0.27976190476190477
Very good,5,2024-11-14,Bank of Abyssinia,Google Play,POSITIVE,0.9099999999999999
One of the poorest mobile banking system,1,2024-11-13,Bank of Abyssinia,Google Play,NEUTRAL,0.0
❤❤❤❤❤❤,5,2024-11-12,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Oene,5,2024-11-12,Bank of Abyssinia,Google Play,NEUTRAL,0.0
i find it interesting specially in reciept downloading,1,2024-11-12,Bank of Abyssinia,Google Play,POSITIVE,0.4285714285714286
it good,5,2024-11-12,Bank of Abyssinia,Google Play,POSITIVE,0.7
"This app crashes everytime, please fix it",1,2024-11-12,Bank of Abyssinia,Google Play,NEUTRAL,0.0
አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,1,2024-11-12,Bank of Abyssinia,Google Play,NEUTRAL,0.0
I need a support the app is not working,5,2024-11-12,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Bast bank of ethiopia,5,2024-11-12,Bank of Abyssinia,Google Play,NEUTRAL,0.0
very slow app. አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app. ከቻላችሁ ሙሉ ለሙሉ እንደገና አሰሩት።በጣም ይመራያል ያሳፍራል።ለapp የወጣው ወጭ በሙስና የተበላ ነው የሚመስለው።,1,2024-11-12,Bank of Abyssinia,Google Play,NEGATIVE,-0.39000000000000007
"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",5,2024-11-12,Bank of Abyssinia,Google Play,NEUTRAL,0.03333333333333333
The worst App i have never seen like this before,1,2024-11-12,Bank of Abyssinia,Google Play,NEGATIVE,-1.0
Wweeeer,4,2024-11-12,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Infinx,5,2024-11-12,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Great service,5,2024-11-12,Bank of Abyssinia,Google Play,POSITIVE,0.8
This app is not available on all android versions and some times it is not functional.,1,2024-11-08,Bank of Abyssinia,Google Play,NEGATIVE,-0.2
senayt Mesfin,4,2024-11-08,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Bad app vety bad.,1,2024-11-07,Bank of Abyssinia,Google Play,NEGATIVE,-0.6999999999999998
Abessnya Banke,5,2024-11-05,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"The most useless app, I never expected such an irrelevant app from BOA. big shame!",1,2024-11-04,Bank of Abyssinia,Google Play,NEUTRAL,-0.075
Okay,5,2024-11-03,Bank of Abyssinia,Google Play,POSITIVE,0.5
Professional on banking app,5,2024-11-01,Bank of Abyssinia,Google Play,NEUTRAL,0.1
Has some nice interface but always freezes or slow to load .App developers please fix this issue.,3,2024-10-27,Bank of Abyssinia,Google Play,POSITIVE,0.14999999999999997
አይሰራም አስተካክሉት,5,2024-10-26,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Please try another because this app doesn't feet the need of this generation,1,2024-10-25,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Fast transfer,5,2024-10-24,Bank of Abyssinia,Google Play,POSITIVE,0.2
"What's up I can't log in, what's wrong",5,2024-10-22,Bank of Abyssinia,Google Play,NEGATIVE,-0.5
Amrumehamed,1,2024-10-21,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please 🙏🙏🙏?",5,2024-10-18,Bank of Abyssinia,Google Play,POSITIVE,0.225
ደደገነሐ,5,2024-10-15,Bank of Abyssinia,Google Play,NEUTRAL,0.0
"Terrible Bank Experience It’s unbelievable that with all the modern technology, this bank still struggles with even basic transactions. The app constantly crashes, services are limited, and every time I try to transfer money or load Telebirr, there’s a huge delay. I have to wait 5 days for failed transactions to be refunded! Even USSD is unreliable. They’ve put me in embarrassing situations countless times, and customer care never fixes anything. I’ve switched banks, and you should too!",1,2024-10-14,Bank of Abyssinia,Google Play,NEGATIVE,-0.14960317460317463
A painfully slow banking app service. Please don't make it your choice!,1,2024-10-13,Bank of Abyssinia,Google Play,NEGATIVE,-0.37500000000000006
Good App,4,2024-10-12,Bank of Abyssinia,Google Play,POSITIVE,0.7
Best app to me,5,2024-10-11,Bank of Abyssinia,Google Play,POSITIVE,1.0
BOA,5,2024-10-11,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Abdulkadir,5,2024-10-11,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Bad,1,2024-10-10,Bank of Abyssinia,Google Play,NEGATIVE,-0.6999999999999998
If it is possible I would gove0 star,1,2024-10-08,Bank of Abyssinia,Google Play,NEUTRAL,0.0
Nise mobile bankig,4,2024-10-05,Bank of Abyssinia,Google Play,NEUTRAL,0.0
